苏州小袋鼠配送有限公司,今天,37,0,送餐员/外卖骑手,7521-12000元/月,招外卖员新人补贴1.1w,包住 包吃 五险一金 交通补助 加班补助 新人奖金 工龄奖 特殊天气补贴,招6人 学历不限 经验不限，可接收应届生,西安 - 雁塔 - 大雁塔 西安雁塔曲江创新创业园翠华里32号 查看地图,有意向请投递简历，收到会及时回复！！！！公司直招不存在收费，工资每月按时发放，可以预支，面试当天可以办理入职、住宿:站点新人入职奖励。一、薪资待遇:1、工资按单提成，一单5-7元2、每天单量在40-60单，爆单较高120单，月平均薪资7000-12000，多劳多得。二、福利补贴:全勤奖+服务奖+新人奖励+天气补贴+等级补贴+提供住宿(设施齐全)。没车站点提供车辆，有单独充电的锂电池，可以保证24小时续航更换，承诺无需任何押金。三、工作内容:通过配送系统线上按单，品类包括附近美食、水果蔬菜、超市、鲜花、蛋糕、早午晚餐、下午茶、宵夜、饮料、甜点等据订单信息到商家拿商品送至客户手中四、工作时间:上午10:00-14:00，下午17:00-21:00工作8小时。五、岗位基本要求:年龄18-45岁，身体健康，，有健康证。期待您的加入，欢迎投递简历有意向请投递简历，收到会及时回复！！！！
苏州闪送网络科技有限公司,今天,2,0,送餐员/外卖骑手,7658-12677元/月,送餐员骑手月9千配车住,话补 包住 年底双薪 包吃 房补 饭补 加班补助 大额补贴 工龄奖 夜宵补贴,招12人 学历不限 经验不限，可接收应届生,西安 - 未央 - 方新村 西安未央未央路80号盛龙广场A区 查看地图,求职者你好，现因业务量的急剧增长，需求外卖送餐员，如有意向可直接在线联系或投简历，优先安排面试任职资格，直接办理入住薪资待遇:（1）底薪+阶梯式单价提成+暖冬补贴+夜班补助+满勤奖+大额单奖励+单王奖+优秀员工奖+高温补贴+恶劣天气补贴+工龄奖+冲单奖+年终奖+春节在岗补贴（2）单量充足，每天50-90单，5-8元每单。（3）轻轻松松干月工资9000---10000元。（不封顶，多劳多得）送餐员负责接外卖下派的订单，接单后按照订单信息取餐送餐。【招聘条件】（1）年龄必须满18—50周岁，无犯罪记录，身体健康，无 ，（2）会骑电动车，会使用智能导航.（3）有无经验均可，只要期待高薪，踏实肯干，全程免费培训，有人教有人带。【工作时间】早上10点-下午2点、下午5点-晚上9点。（注：两个时间段必须在岗，其他时间段可选择）【任职资格】（1）有无经验均可，只要你会骑电动车（我们只看你是否有意愿！）（2）来可提供住宿，提供车辆。
淮安航道网络科技有限公司,今天,177,5,送餐员/外卖骑手,6000-10000元/月,身无分文就来做骑手可预支,加班补助 年底双薪,招30人 学历不限 经验不限，可接收应届生,西安 - 碑林 - 小雁塔 西安碑林南关正街16号中贸广场12号楼 查看地图,因单量急剧上升，站点急招送餐员！！！时间自由，收入稳定，经验不限。无住址公司提供住宿。(面试当天可以直接安排报道入职，隔天开始工作)任职资格：1.18-45周岁，身体健康，无不良嗜好，无犯罪前科。2.会骑电动车，会用导航，微信，工作经验不限，学历不限，具有团队精神，能吃苦耐劳，赚钱欲望强，健康证（没有的可先办理入职，在办证）3. 欢迎曾经任职过的优秀员工重返公司;退伍军人优先录用，有同行经验者优先录用。4.公司统一提供员工宿舍，可自备车，无车可用公司担保车，为员工办理保险。跑一单有一单的钱，，一单大概是5~6元左右，多劳多得。系统每天40单左右，（就看你能不能跑，初期建议先熟练跑单操作与熟悉地形路线，建议在面试培训中请认真学习）奖金+补助；高温补贴、冲单量补贴、大额订单补贴、恶劣天气补贴，满勤奖励，优秀员工奖励，夜宵订单补贴，各种过节福利，不定时举办公司会餐，这就是你第二个家；职位描述：站点旁边的商圈（商圈指餐饮娱乐成熟地带）内，系统派单给骑手，骑手根据系统内的导航路线去商家拿餐送到客户手里，很简单易操作，公司统一面试培训，公司直招不收取任何费用，全市可就近安排站点工作，刚入职员工有老骑手带领熟悉路线（一周后就是老员工）.我们外卖是现在很多人的选择，因为他区别于其他行业，做销售你得有人脉，有关系，才可以赚钱，在厂里你得加班，熬时间，熬资历才会有不错的工资，但是在咱们上班时间很自由，配送员工资哪怕是*个月，只要别人在送单，你也在送，那你得工资正常就会达到7000左右，甚至更高。欢迎加入外卖员配送员团队，我们一直在招募骑手送餐员，所以欢迎兄弟们加入。分配范围：本职位属于站点招聘，全程不收取任何中介费用，注意防骗。站点统一面试培训，工作简单易操作，刚入职员工有老骑手带领熟悉路线（一周后就是老员工）。晋升空间：送餐员—组长—站长--区域督导--城市经理 、欢迎您的加入——这是一个发展广阔的平台！
商丘小袋鼠餐饮配送有限公司,今天,9,0,送餐员/外卖骑手,7890-11980元/月,肯努力月过万+供车骑手,交通补助 加班补助 包住 五险一金 包吃 冲单奖 商业保险 供车供住,招11人 学历不限 经验不限，可接收应届生,西安 - 未央 - 辛家庙 西安未央太和路长安易居17号楼 查看地图,有意向欢迎投递咨询，收到会及时回复！!站点急招送餐员，月工资7000-12000元计件提成单价6-8一单，每天平均50单一天，有老师傅教学，半天就学会。路线熟正常每天50-80单多劳多得，雨季、假期容易爆单，单量增加，只要你付出肯定就会有收获。福利待遇：1、公司提供住宿，生活用品需要自带。2、公司统一为员工购买保险，骑手不用出任何费用。3、晋升机制：骑手一组长一储备站长一站长一区域经理一城市经理。4、住宿环境：2-3人一间，空调，洗衣机，淋浴间…等。福利津贴：全勤奖＋服务奖＋车补＋餐补＋话补＋高温补贴＋高峰补贴＋冬季补贴。工资每月均可达到12000以上！工资完全取决于你自己，多劳多得，肯努力收入不会低！面试通过，当天可根据应聘者情况就近分配站点，简单易操作，刚入职员工有老骑手带领熟悉路线（一周后就是老员工）。温馨提示：本信息站点直招，有车可自带车入职，没车公司可配车辆，不受任何费用。站点面试，站点都是老乡！公司双份保险，直招入职！!!有意向欢迎投递咨询，收到会及时回复！!
苏州蓝黄配科技有限公司,今天,7,0,送餐员/外卖骑手,7102-11888元/月,招送餐员+0押金供车住,包住 年底双薪 加班补助 饭补 话补 房补 零费用入职 供车住宿 新人福利,招12人 学历不限 经验不限，可接收应届生,西安 - 未央 - 辛家庙 西安未央太和路玄武新城小区56号 查看地图,西安站点直招，不收任何费用。面试通过，当天办理入职. 有意向请投递简历薪资待遇：1.工资是按单提成，平均最低每单在5元，综合工资每单在7元左右.月薪7000到11000元2.福利补贴：全勤奖+好评补贴+工龄奖+恶劣天气补贴+夏季补贴。。。。。。基本提成+绩效+满勤奖+优质服务奖（额外老员工奖+站点冲单奖+恶劣天气贡献奖）底薪绩效+提成每单（6-9元不等）+优质服务奖（100-500元）（根据各个站点实际情况）综合工资7000-11000！！上不封顶，多劳多得。3.提供住宿（2-3人一间，有空调、洗衣机），购买万商业险。4.自己有车就自带车，如果没有的话公司可提供配车，可免费提供外卖箱头盔。）5.工作时间：早10点-14点 晚17点-21点，每日工作八小时左右夜宵单时间晚上21点--23点（加班采取个人自愿）6，公司系统派单！只要你不怕吃苦，只要你能跑！不怕我们没有单，送餐范围2-3公里内，路不熟有老师傅带着熟悉商家路线和APP导航!岗位基本要求：一、有无经验均可（我们只看你是否有意愿）二、学历不是你的硬指标（我们只看能力，只认付出）三、吃苦耐劳、有强烈的征服欲（目标需要靠自己的付出去实现）四、年龄18-45周岁，身体健康，会骑电动车会用导航晋升路径：骑士—副站长—站长—区经理—合伙人有意向请投递简历，收到会及时回复！！！
运城市新邦物流有限公司（新邦物流（美团合作商））,今天,433,6,送餐员/外卖骑手,6500-10000元/月,急急急！招骑手提供车辆,月结工资 不需要 美团 熟练驾驶电动 熟练使用导航 健康证 话补 包住 加班补助,招20人 学历不限 经验不限,西安 - 未央 西安未央凤城一路皇家园林小区6栋 查看地图,岗位职责：1、系统自动派单（无需抢单），负责3公里以内餐食的配送，接单后按照订单信息到商家进行取餐2、高效配送，在规定时间内，根据导航到达送餐地址，准确将餐品送到客户手中，完成配送任职要求：1、18-45周岁，身体健康，无犯罪记录即可2、男女不限，无学历限制，无工作经验要求，有工作经验者优先3、熟悉掌握电瓶车骑行，会使用手机导航4、肯吃苦耐劳、踏实肯干福利薪资：1、月综合工资6000-12000元（工资取决于跑单量，平均每单5，5-9元，轻松干6000+，努力干7000-10000+，多劳多得，肯努力收入不会低！）2、员工拥有广阔的发展空间，优秀员工可以定期参与公平晋升 骑手—调度—站长—区域经理—城市经理3、良好的团结文化，公司定期聚餐团建4、公司缴纳商业险，车险+人险（保障骑手人身安全，可放心工作）前期安排老骑手带领，熟悉配送区域环境工作地址：全西安市内就近安排，站点都有宿舍，可安排住宿。面试时间：上午10点～下午5点，站点直招，具体请来公司面谈！！
苏州闪送网络科技有限公司,今天,7,0,送餐员/外卖骑手,8796-11098元/月,0元入职送餐员高薪爆单,月结工资 不需要 公司提供车 包住 五险一金 包吃 交通补助 饭补 大额单补助 0元入职 距离补助,招12人 学历不限 经验不限，可接收应届生,西安 - 未央 - 辛家庙 西安未央北二环东部太和路99号长安易居 查看地图,本公司为直接招聘！工资准时发放，可投递简历！！0元入职，综合薪资8000以上，，有老员工带，有车可自带，无车可提供，欢迎加入大家庭！一、薪资福利及待遇：全勤奖200+单量奖励.恶劣天气每单加1元多劳多得上不封顶.综合单价5-7元，综合薪资8000-12000元二、岗位职责和要求：1、及时接收客户外卖订单（不熟悉路线，外卖软件自带导航)；2、接到外卖订单后及时前往商家拿取外卖，送到客户手中3、年龄18-40周岁；4、会骑电动车、会用智能手机；5、经验不限、学历不限，能吃苦耐劳！6、有上进心、责任心、赚钱欲望强。7工作时间：10：00到14：00，17：00到21：00点（20点过后可以自由加班，多劳多得，可兼职自由时间段8.工作地点：全市就近分配，来应聘只需要带身份证入职即可！（公司直招入职不收任何费用或者押金)公司配备：公司统一形象，统一提供电动车。提供服装头盔以及工作装备。住宿：公司可为员工提供工作岗位附近的宿舍；当天安排住宿，需要住宿就带行李，不需要就不用带行李！住宿环境：2-4人一间房间，有空调，热水器，独立卫生间wifi。每个月工资准时打银行卡里。系统派单，无需抢单，app自动接单，定位准，路不熟有老员工带路！
苏州小袋鼠配送有限公司,今天,20,0,送餐员/外卖骑手,7985-12935元/月,站点直聘送餐员月入9k,包住 五险一金 交通补助 加班补助 房补 高温补贴 全勤奖 冲单奖,招8人 学历不限 经验不限，可接收应届生,西安 - 未央 - 太元路 西安未央未央区凤城一路22号 查看地图,本公司为直接招聘！工资准时发放，可投递简历！！当天可安排住宿入职！！！！薪资待遇：一、工资：5-7元/单二、福利：新人奖500+全勤奖每月300+夏季高温补贴4500左右，正常干7000---9000元/月，努力干9000---11000元/月，使劲干11000以上一、工作内容：骑手通过配送系统线上按单，品类包括附近美食、水果蔬菜、超市、鲜花、蛋糕、早午晚餐、下午茶、宵夜、饮料、甜点等据订单信息到商家拿商品送至客户手中二、工作时间：上午10：00-14：00，下午17：00-21：00，其他时间可休息或接单，三、岗位要求：年龄18-55周岁，，身体健康五、宿舍环境小区房，2-3人一间，设备齐全（空调，洗衣机，热水器）六·派单问题系统派单，公平公正，不用担心没有单！自动调度订单，接单后按照订单信息上门取餐送餐
运城市新邦物流有限公司（新邦物流（美团合作商））,今天,455,9,送餐员/外卖骑手,9000-10000元/月,吉祥村招送餐员+新人奖,年底双薪 加班补助 话补 房补 新人奖 系统派单 提供住宿,招10人 学历不限 经验不限,西安 - 雁塔 - 太白南路 西安雁塔南二环西段日报小区 查看地图,岗位职责：1、系统自动派单（无需抢单），负责3公里以内餐食的配送，接单后按照订单信息到商家进行取餐2、高效配送，在规定时间内，根据导航到达送餐地址，准确将餐品送到客户手中，完成配送任职要求：1、18-45周岁，身体健康，无犯罪记录即可2、男女不限，无学历限制，无工作经验要求，有工作经验者优先3、熟悉掌握电瓶车骑行，会使用手机导航4、肯吃苦耐劳、踏实肯干福利薪资：1、月综合工资6000-10000元（工资取决于跑单量，平均每单5，5-9元，轻松干6000+，努力干6000-10000+，多劳多得，肯努力收入不会低！）2、员工拥有广阔的发展空间，优秀员工可以定期参与公平晋升 骑手—调度—站长—区域经理—城市经理3、良好的团结文化，公司定期聚餐团建4、公司缴纳商业险，车险+人险（保障骑手人身安全，可放心工作）前期安排老骑手带领，熟悉配送区域环境工作地址：全西安市内3km安排，站点都有宿舍，可安排住宿。面试时间：上午10点～下午5点，站点直招，具体请来公司面谈！！—————————————————
重庆欧速达企业管理有限公司（饿了么配送合作商）,今天,311,4,送餐员/外卖骑手,6000-10000元/月,西安高薪骑手包车住速来,包住 话补 饭补 加班补助 房补 交通补助 五险一金,招10人 学历不限 经验不限,西安 - 碑林 西安碑林草场坡三五三八厂 查看地图,职位描述【全城站点直招外卖骑手送餐员（新手外卖骑手可以老骑手一带一上岗培训），免费提供配车一一不收任何押金——不收取任何费用 ，零费用入职！！！工作内容：1、送餐员负责接外卖系统派的订单，按照订单信息准确及时地将餐品送到客户手中。2、配送的物品：外卖食品，配送范围三公里以内3、新员工入职，有老员工带。【招聘条件】1、18周岁-45周岁，品行端正，无案底2、有无经验均可，要求会骑电动车，会使用智能手机导航。3、公司不收取任何押金，不以任何形式扣员工工资等行为。【薪资待遇】单价6-10元/单，每天35到60单=月薪 6000-12000左右.（多劳多得，接单越多提成越高，五星好评，另有平台大额单，远距离单补助)公司派单，单量充足…（配送范围3公里之内，新人入职有老员工带。只要愿意干、只要肯吃苦、肯定让你挣到钱）正常干 6000元左右稍微努力 8000元左右使劲干 10000元以上年轻人嘛，连一个尝试的机会都不给自己，何提奋斗一说？【工作地点】全西安就近分配站点【其他福利】（1）传统节日发放节日礼品【任职资格】1、有无经验均可，只要你会骑电动车（我们只看你是否有意愿）2、学历不是你的硬指标（我们只看能力，只认付出）3、有良好的服务意识、综合素质（相信自己！）4、能吃苦耐劳、有强烈的企图心（目标需要靠自己的付出去实现）
